Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
408d4815-b0c1-3a2f-97c3-e942fdc72caa,86c3d8af-8104-3632-adce-fd260f10cf0d,Cira533 Jakubowski832,F,GENERAL PRACTICE,239 TROWBRIDGE DRIVE,FOND DU LAC,WI,549379180,43.74525868547042,-88.47806651636562,2554,0
127ff957-5c0c-3360-8179-2197213cfa2b,9649ae42-cac1-33a8-99b8-6adf4232d606,Kari181 Trantow673,F,GENERAL PRACTICE,2801 CROSSROADS DR  SUITE 2000,MADISON,WI,537187994,43.132269,-89.290323,236,0
11090428-4934-3362-ad7a-b2fee5884fc1,8ea8dda8-8f16-3c4c-be29-fcc32e61d67f,Donnell534 Mosciski958,M,GENERAL PRACTICE,25951 CIRCLE VIEW DR,RICHLAND CENTER,WI,535814013,43.3355111,-90.3854036,1,0
1f2cac18-c9e6-3a80-81d1-e2f729dd6266,1d02285d-7fcf-3016-82e0-a5edb2b22a03,Beverlee316 Haag279,F,GENERAL PRACTICE,1000 MINERAL POINT AVE,JANESVILLE,WI,535482940,42.687930449999996,-89.0338544387098,276,0
ab3a745c-769e-38b0-9c99-5d7272b01434,09f5f504-04d6-3e75-b473-beb4e8ff23ef,Katia630 Parisian75,F,GENERAL PRACTICE,905 E GENEVA ST,DELAVAN,WI,531151922,42.627631,-88.633181,3,0
90cacebe-924a-3fca-92f6-c7284f093357,1ae1e745-ceb3-3a68-8140-cab56d023811,Paris331 Ruecker817,M,GENERAL PRACTICE,10 Oak Ave,Monroe,WI,53566,42.605,-89.638,3195,0
72f84127-0513-3922-a6fb-459805da4c4b,03610ed4-877a-3f40-89ea-706f452e3d25,Marcos263 Cronin387,M,GENERAL PRACTICE,414 BROADWAY ST  SUITE 200,PLATTEVILLE,WI,538183137,42.73645572984137,-90.46795417822209,4,0
40a9cb3f-9242-3c96-a366-6d0bd2968f13,c0876791-5670-3d70-934b-633268b30040,Sondra191 Zieme486,F,GENERAL PRACTICE,3401 MAPLE GROVE DR,MADISON,WI,537195013,43.0115087,-89.49737347075427,411,0
2cd8bf07-62ae-33f0-9cfa-d452b8167054,218bc3a6-1265-3b6e-b62e-f07e742450ca,Estella474 O'Hara248,F,GENERAL PRACTICE,121 HOSPITAL DR,WATERTOWN,WI,530983303,43.199114,-88.698893,3,0
c2e90ea1-6d65-39dc-a29a-5fe3dc7c73fa,644d3ae0-68be-3d86-b2b2-2e334f6c7fc3,Jospeh459 Wunsch504,M,GENERAL PRACTICE,502 S HIGH ST,RANDOLPH,WI,539561499,43.53448465334992,-89.00682468746686,3,0
6294f856-a407-3cb2-8fbd-83208be88927,c8fcc9c9-06e4-341c-b01e-724c35be116c,Stephane228 O'Conner199,F,GENERAL PRACTICE,3151 COUNTY ROAD CH,DODGEVILLE,WI,535339108,42.9601384,-90.1588626,8,0
6a3ff51d-703f-34b0-9866-cc55e5c4eedb,f9779018-1cdf-3526-a5a8-883f18b77d89,Cindie288 Zulauf375,F,GENERAL PRACTICE,123 University Ave,Madison,WI,53715,43.071,-89.4008,72043,0
7464b880-cca5-35b0-8d8f-d27b01e7027b,c27a987a-7f97-3e08-94e4-38c033a92230,Renaldo199 Huels583,M,GENERAL PRACTICE,901 MINERAL POINT AVE,JANESVILLE,WI,535482970,42.686707,-89.030513,344,0
6aa03c66-bfdf-315c-a0a3-6aaaaa622371,59d710fa-a4ad-3900-964e-2608b67a0208,Wanetta360 Schumm995,F,GENERAL PRACTICE,198 COUNTY  DF,JUNEAU,WI,530399515,43.4168047,-88.69796414455445,772,0
b0a1019f-4512-36e2-8eb3-602794f1a363,7782b61a-fe56-366e-a098-f34a49ebe8f8,Paz9 Gerlach374,F,GENERAL PRACTICE,130 W ELM ST,LANCASTER,WI,538131258,42.8471782,-90.7096433,29,0
2442cc44-df2b-3e97-a025-586215869ba2,262ddf10-0b1b-3116-84d1-6e335b42582b,Dylan44 Walsh511,M,GENERAL PRACTICE,400 N MORRIS ST,STOUGHTON,WI,535891857,42.92064685858586,-89.20821605050504,1,0
0dfbaf6c-8d99-3a22-98ea-de42ecf7b9c3,60ab5289-f360-3ac5-bd1e-f919e7a51122,Armand155 Towne435,M,GENERAL PRACTICE,1145 W MAIN AVE  SUITE 205,STEVENS POINT,WI,544828861,44.5229223,-89.574111,3,0
3640e231-fe4b-3129-abaf-c6919a04ab29,bba021c6-d98f-3ff4-8ab6-f1de27dd0d3f,Matthew562 Boyer713,M,GENERAL PRACTICE,350 N CENTER ST,LOWELL,WI,493311212,43.3402719,-88.8170497,14,0
727e5e86-aa04-3698-a0dc-6949fe044652,7c05e8df-14ba-3139-9a7c-50c4a3a0c83e,Armida530 Nitzsche158,F,GENERAL PRACTICE,800 COMPASSION WAY,DODGEVILLE,WI,535331291,42.95120925,-90.12916566489977,9,0
60dcf29b-4107-38fb-ae08-ce612192869a,3ace083b-605c-3015-b420-b0576b1b87d3,Geraldo282 Huel628,M,GENERAL PRACTICE,1345 DEMING WAY STE 200,MIDDLETON,WI,535623688,43.08772733432017,-89.52809980183024,98,0
613779d5-9dfa-32c6-b0f3-71a054253182,cee20fa2-719c-3495-bdcf-eff71f3add31,Izetta651 Farrell962,F,GENERAL PRACTICE,1905 W HART RD,BELOIT,WI,535112230,42.54679436363636,-89.01139578787878,2,0
11afb741-02f5-39a1-a96e-a8308912162b,663e8efd-3d17-3286-908b-ada7b36b1ea3,Mickey576 Gerlach374,M,GENERAL PRACTICE,1818 Martin Luther King Jr. Drive,Milwaukee,WI,53212,43.054127,-87.91425,161,0
7839ba55-a167-3de9-8450-cbfd57ffed07,c9659c92-fb96-39f2-81b2-4535e49a13f8,Tandy422 Sporer811,F,GENERAL PRACTICE,2350 N DEWEY AVE,REEDSBURG,WI,539592316,43.5543934886626,-89.99446469761732,20,0
53d80e8e-96bd-3eba-b9b0-4b64b38c4d5c,457b4679-2fd5-3867-9f1d-1b5f878a26cd,Donny470 Reynolds644,M,GENERAL PRACTICE,2121 PIONEER DR,BELOIT,WI,535113025,42.53087695652174,-89.01747586956522,5,0
4428351c-e54f-38a5-a37f-feeb59727e91,b17fce12-0f54-36ae-bdc8-a5a43bbd6b20,Shane235 Torphy630,M,GENERAL PRACTICE,709 MEADOW PARK DR,CLINTON,WI,535259777,42.56319166666667,-88.86834833333333,4,0
cc7a3c28-8e0a-3852-bf6e-4b4fb3c3292e,028eeb4d-621c-30cc-ac33-342855e1972a,Tristan353 Mayert710,F,GENERAL PRACTICE,110 BELMONT ROAD,MADISON,WI,537143129,43.09543023967672,-89.31351997688783,33,0
62d07bb0-4b1d-362f-9da2-b79f7f79d2bf,0d92c593-e603-35c8-9466-88c40827f0a1,Kareem959 Schaefer657,M,GENERAL PRACTICE,313 STOUGHTON RD,EDGERTON,WI,535341132,42.8394373,-89.07902212662972,102,0
a6ffdcbb-2c5e-3601-b332-36a82c75fc0d,b85746af-dd8b-36a8-a01e-7533fbce620e,January966 Roberts511,F,GENERAL PRACTICE,300 Main St,Madison,WI,53703,43.0747,-89.3869,11301,0
0bc20a6c-f0d0-3f66-863e-84951f62f36c,98d7d032-166b-3d11-914b-238489a12cf1,Sharyl439 Williamson769,F,GENERAL PRACTICE,814 OLD EKRON RD,BRANDENBURG,WI,401081149,43.1949255,-89.59184485478121,2,0
7f331897-eae2-371d-bb17-62c6449e08b7,3f30642b-9428-313f-bb3e-234dded6b2cf,Candance389 Crona259,F,GENERAL PRACTICE,1130 COLLINS RD,JEFFERSON,WI,535492939,42.9941565,-88.82431673403889,2,0
f8e2d436-9ef1-3951-aaac-9dd71185c4fe,f71caaf9-6865-3714-bbd4-950af738cd8d,Rosario163 Kilback373,M,GENERAL PRACTICE,41 RICKEL RD,SUN PRAIRIE,WI,535901840,43.17919029841775,-89.24001657048045,1,0
1df6606d-e1bb-34db-a269-2dc57d7e7e87,12876c8f-f711-36b3-bc60-d38c09c0ed70,Elisha578 Klocko335,F,GENERAL PRACTICE,801 S KLEIN DR,WAUNAKEE,WI,535971575,43.18479683838384,-89.463805,12,0
0d47e81a-5d0f-38e1-a5ec-87e9ac6a0510,af2b1c48-1d33-34d2-bede-3a1a0ba862d9,Ollie731 Bosco882,F,GENERAL PRACTICE,1051 CLARK ST,REEDSBURG,WI,539592321,43.5307796,-90.03185480235479,4,0
